DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;PRODUTO;PREÇO MÉDIO REVENDA
30/12/2012;05/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,733
06/01/2013;12/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,722
13/01/2013;19/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,714
20/01/2013;26/01/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,711
27/01/2013;02/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,729
03/02/2013;09/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,869
10/02/2013;16/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,867
17/02/2013;23/02/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,861
24/02/2013;02/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,852
03/03/2013;09/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,857
10/03/2013;16/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,847
17/03/2013;23/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,842
24/03/2013;30/03/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,832
31/03/2013;06/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,836
07/04/2013;13/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,828
14/04/2013;20/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,823
21/04/2013;27/04/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,830
28/04/2013;04/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,829
05/05/2013;11/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,831
12/05/2013;18/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,842
19/05/2013;25/05/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,855
26/05/2013;01/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,848
02/06/2013;08/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,830
09/06/2013;15/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,809
16/06/2013;22/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,801
23/06/2013;29/06/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,794
30/06/2013;06/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,789
07/07/2013;13/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,784
14/07/2013;20/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,781
21/07/2013;27/07/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,792
28/07/2013;03/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,783
04/08/2013;10/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,767
11/08/2013;17/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,794
18/08/2013;24/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,866
25/08/2013;31/08/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,867
01/09/2013;07/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,868
08/09/2013;14/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,870
15/09/2013;21/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,865
22/09/2013;28/09/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,864
29/09/2013;05/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,861
06/10/2013;12/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,865
13/10/2013;19/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,854
20/10/2013;26/10/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,852
27/10/2013;02/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,858
03/11/2013;09/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,859
10/11/2013;16/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,854
17/11/2013;23/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,851
24/11/2013;30/11/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,849
01/12/2013;07/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,909
08/12/2013;14/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,922
15/12/2013;21/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,940
22/12/2013;28/12/2013;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,931
29/12/2013;04/01/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,927
05/01/2014;11/01/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,926
12/01/2014;18/01/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,916
19/01/2014;25/01/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,915
26/01/2014;01/02/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,924
02/02/2014;08/02/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,922
09/02/2014;15/02/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,911
16/02/2014;22/02/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,915
23/02/2014;01/03/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,898
02/03/2014;08/03/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,902
09/03/2014;15/03/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,906
16/03/2014;22/03/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,918
23/03/2014;29/03/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,923
30/03/2014;05/04/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,955
06/04/2014;12/04/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,961
13/04/2014;19/04/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,961
20/04/2014;26/04/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,959
27/04/2014;03/05/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,955
04/05/2014;10/05/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,955
11/05/2014;17/05/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,963
18/05/2014;24/05/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,953
25/05/2014;31/05/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,943
01/06/2014;07/06/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,949
08/06/2014;14/06/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,943
15/06/2014;21/06/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,949
22/06/2014;28/06/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,955
29/06/2014;05/07/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,945
06/07/2014;12/07/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,947
13/07/2014;19/07/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,948
20/07/2014;26/07/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,949
27/07/2014;02/08/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,935
03/08/2014;09/08/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,928
10/08/2014;16/08/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,942
17/08/2014;23/08/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,954
24/08/2014;30/08/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,967
31/08/2014;06/09/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,981
07/09/2014;13/09/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,968
14/09/2014;20/09/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,953
21/09/2014;27/09/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,961
28/09/2014;04/10/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,942
05/10/2014;11/10/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,927
12/10/2014;18/10/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,898
19/10/2014;25/10/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,902
26/10/2014;01/11/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,914
02/11/2014;08/11/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,925
09/11/2014;15/11/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,934
16/11/2014;22/11/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,930
23/11/2014;29/11/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,925
30/11/2014;06/12/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,924
07/12/2014;13/12/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,913
14/12/2014;20/12/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,908
21/12/2014;27/12/2014;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,905
28/12/2014;03/01/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,895
04/01/2015;10/01/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,892
11/01/2015;17/01/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,901
18/01/2015;24/01/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,905
25/01/2015;31/01/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;2,899
01/02/2015;07/02/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,228
08/02/2015;14/02/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,258
15/02/2015;21/02/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,257
22/02/2015;28/02/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,253
01/03/2015;07/03/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,255
08/03/2015;14/03/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,270
15/03/2015;21/03/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,262
22/03/2015;28/03/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,241
29/03/2015;04/04/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,223
05/04/2015;11/04/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,225
12/04/2015;18/04/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,216
19/04/2015;25/04/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,200
26/04/2015;02/05/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,171
03/05/2015;09/05/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,151
10/05/2015;16/05/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,381
17/05/2015;23/05/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,389
24/05/2015;30/05/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,397
31/05/2015;06/06/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,401
07/06/2015;13/06/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,425
14/06/2015;20/06/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,439
21/06/2015;27/06/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,443
28/06/2015;04/07/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,445
05/07/2015;11/07/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,446
12/07/2015;18/07/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,435
19/07/2015;25/07/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,434
26/07/2015;01/08/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,437
02/08/2015;08/08/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,437
09/08/2015;15/08/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,437
23/08/2015;29/08/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,454
30/08/2015;05/09/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,461
06/09/2015;12/09/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,442
13/09/2015;19/09/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,440
20/09/2015;26/09/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,437
27/09/2015;03/10/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,421
04/10/2015;10/10/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,558
11/10/2015;17/10/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,580
18/10/2015;24/10/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,577
25/10/2015;31/10/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,588
01/11/2015;07/11/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,512
08/11/2015;14/11/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,597
15/11/2015;21/11/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,568
22/11/2015;28/11/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,668
29/11/2015;05/12/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,668
06/12/2015;12/12/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,711
13/12/2015;19/12/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,656
20/12/2015;26/12/2015;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,657
27/12/2015;02/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,639
03/01/2016;09/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,716
10/01/2016;16/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,729
17/01/2016;23/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,702
24/01/2016;30/01/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,734
31/01/2016;06/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,731
07/02/2016;13/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,716
14/02/2016;20/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,673
21/02/2016;27/02/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,693
28/02/2016;05/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,776
06/03/2016;12/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,758
13/03/2016;19/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,754
20/03/2016;26/03/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,698
27/03/2016;02/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,704
03/04/2016;09/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,758
10/04/2016;16/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,755
17/04/2016;23/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,718
24/04/2016;30/04/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,718
01/05/2016;07/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,785
08/05/2016;14/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,782
15/05/2016;21/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,774
22/05/2016;28/05/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,774
29/05/2016;04/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,770
05/06/2016;11/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,755
12/06/2016;18/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,763
19/06/2016;25/06/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,776
26/06/2016;02/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,771
03/07/2016;09/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,751
10/07/2016;16/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,722
17/07/2016;23/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,698
24/07/2016;30/07/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,658
31/07/2016;06/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,688
07/08/2016;13/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,677
14/08/2016;20/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,661
21/08/2016;27/08/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,627
28/08/2016;03/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,609
04/09/2016;10/09/2016;NORDESTE;PERNAMBUCO;GASOLINA COMUM;3,617
